stdev,mse,kpPred,tauPred,thetaPred,kpTrue,tauTrue,thetaTrue
4.0,27.47944731250382,10.060174942016602,6.724969863891602,7.460813045501709,9.272727272727273,5.7272727272727275,7.909090909090909
4.0,53.365441084867534,4.614493370056152,2.576195001602173,7.105855941772461,3.909090909090909,3.272727272727273,6.545454545454546
4.0,166.2053697745937,10.431917190551758,5.460116863250732,10.641063690185547,9.363636363636363,5.7272727272727275,9.818181818181818
4.0,6.68099745322025,6.9114861488342285,10.451310157775879,2.6879379749298096,6.909090909090909,9.090909090909092,2.909090909090909
4.0,29.354763700901405,6.434694290161133,3.8069005012512207,2.173771381378174,6.181818181818182,4.363636363636363,1.7272727272727273
4.0,114.32760133524124,7.030850410461426,2.21138858795166,8.312980651855469,7.181818181818182,2.1818181818181817,7.7272727272727275
4.0,9.513099827314996,1.845120906829834,2.776912212371826,6.759294509887695,1.9090909090909092,2.6363636363636367,6.090909090909091
4.0,20.633306161664795,4.374655723571777,6.1507649421691895,8.3482027053833,3.909090909090909,7.545454545454546,8.454545454545455
4.0,41.04528005338103,4.881927013397217,2.369380474090576,2.384643316268921,4.363636363636363,3.0,2.090909090909091
4.0,11.81529873468585,5.6604228019714355,6.789440631866455,9.070850372314453,5.181818181818182,6.909090909090909,9.181818181818182
4.0,10.671292272337613,2.8103950023651123,8.249344825744629,9.63424301147461,3.3636363636363638,8.272727272727273,9.363636363636363
4.0,17.483412166231815,4.363370895385742,4.084914207458496,5.787113189697266,3.8181818181818183,3.7272727272727275,6.181818181818182
4.0,35.97093838002766,8.812695503234863,6.642638206481934,3.3401176929473877,7.636363636363637,5.454545454545455,3.3636363636363638
4.0,4.178209436518088,3.8633675575256348,4.747992515563965,2.0214297771453857,3.909090909090909,4.090909090909091,2.0
4.0,50.655093965203044,1.6244547367095947,2.287644386291504,6.540262222290039,2.2727272727272725,1.9090909090909092,5.7272727272727275
4.0,7.1513958600788,6.1696319580078125,8.016633987426758,3.895019769668579,6.181818181818182,7.7272727272727275,4.0
4.0,27.3466376826766,2.101158380508423,1.2733827829360962,1.7484853267669678,1.7272727272727273,1.6363636363636362,2.1818181818181817
4.0,30.350407806074003,0.9802715182304382,4.405370712280273,1.622914433479309,1.8181818181818183,4.272727272727273,1.9090909090909092
4.0,34.78063679237017,7.72407865524292,9.777288436889648,7.453073024749756,7.2727272727272725,8.454545454545455,8.727272727272727
4.0,2.8375634041716515,2.0091161727905273,6.699850082397461,6.614080905914307,2.2727272727272725,6.909090909090909,6.363636363636364
4.0,11.710604425985577,5.647896766662598,3.555593967437744,5.739712238311768,5.454545454545455,3.7272727272727275,5.909090909090909
4.0,12.741318935533128,3.5571413040161133,4.342257499694824,5.963423252105713,3.272727272727273,4.7272727272727275,6.2727272727272725
4.0,30.4907717655611,3.1752867698669434,8.473343849182129,5.9583539962768555,4.181818181818182,9.545454545454545,6.0
4.0,10.903662586635043,4.772520065307617,6.523312568664551,7.232697010040283,5.181818181818182,6.7272727272727275,7.2727272727272725
4.0,149.6703888300833,9.383764266967773,4.898438930511475,3.316253900527954,8.636363636363637,5.545454545454546,2.4545454545454546
4.0,14.440591988890764,8.351613998413086,7.046409606933594,5.4836883544921875,8.09090909090909,6.818181818181818,5.363636363636363
